Course Code,Course Title,Session,Cr Hrs,Day and Time,Instructor
ACCT 100 LEC 1,Principles of Financial Accounting,16W,3,MW 9:30AM-10:45AM,Saira Rizwan
ACCT 130 LEC 1,Principles of Management Accounting,16W,3,TR 9:30AM-10:45AM,Mahin Moazzam
ACCT 220 LEC 1,Corporate Financial Reporting I,16W,3,TR 12:30PM-1:45PM,Mahin Moazzam
ACCT 250 LEC 1,Auditing,16W,3,TR 11:00AM-12:15PM,Syed Zain  ul Abidin
ACCT 320 LEC 1,Corporate Financial Reporting II,16W,3,TR 11:00AM-12:15PM,Samia Ahmed Ali
ACCT 370 LEC 1,Applied Taxation,16W,3,MW 11:00AM-12:15PM,Huzaima Bukhari
ACCT 411 LEC 1,Applied Financial Analysis,16W,3,MW 2:00PM-3:15PM,Saira Rizwan
ANTH 100 LEC 1,Introduction to Cultural Anthropology,16W,4,TR 12:00PM-1:50PM,Rabia Kamal
ANTH 253 LEC 1,Women's Lives Across Cultures,16W,4,TR 2:00PM-3:50PM,Rabia Kamal
ANTH 253 LEC 1,ANTH 263 Food and Culture,16W,4,MW 2:00PM-3:50PM,Sadaf Ahmad
ANTH 268 LEC 1,ANTH 270 Anthropology of Art,16W,4,MW 2:00PM-3:50PM,Lukas Albert Paul Werth
ANTH 310 LEC 1,Classical Anthropological Theory,16W,4,MW 10:00AM-11:50AM,Lukas Albert Paul Werth
ANTH 320 LEC 1,Qualitative Research Methods,16W,4,TR 2:00PM-3:50PM,Ameem Lutfi
ANTH 360 LEC 1,AST 104 The Universe Around Us,16W,3,MW 4:30PM-5:45PM,Rizwan Khalid
BIO 100 LAB 1,Biology Laboratory,8Wk2,1,M 10:00AM-12:50PM,Aishah Bilal
BIO 101 LEC 1,Introductory Biology,16W,3,MW 5:00PM-6:15PM,Safee Ullah Chaudhary
BIO 212 LEC 1,Biochemistry,16W,3,TR 2:00PM-3:15PM,Faiz Ul Hassan Nasim
BIO 212 LEC 1,BIO 231 Computational Biology I,16W,3,TR 12:00PM-1:15PM,Safee Ullah Chaudhary
BIO 231 LEC 1,BIO 314 Virology and Microbiology,16W,3,MW 1:30PM-2:45PM,Shaper Mirza
BIO 402 SEM 1,Seminar in Biology II,16W,1,M 3:00PM-3:50PM,Khurram Bashir
BIO 415 LEC 1,Developmental Biology I,16W,4,TR 10:00AM-11:50AM,Muhammad Shoaib
BIO 415 LEC 1,BIO 512 Advance Biochemistry,16W,3,TR 4:00PM-5:15PM,Faiz Ul Hassan Nasim
BIO 519 LEC 1,Immunology,16W,3,TR 12:00PM-1:15PM,Shaper Mirza
BIO 522 LEC 1,Topics in Cancer Biology,16W,3,TR 3:30PM-4:45PM,Muhammad Shoaib
BIO 5311 LEC 1,Advanced Biostatistics,16W,3,MW 11:30AM-12:45PM,Safee Ullah Chaudhary
BIO 611 LEC 1,Cell Signaling,16W,3,MW 3:00PM-4:15PM,Muhammad Shoaib
BIO 621 LEC 1,Genetics and Genomics,16W,3,MW 10:00AM-11:15AM,Khurram Bashir
CHE 273 LEC 1,Fluid Mechanics,16W,3,TR 11:30AM-12:45PM,Qasim Imtiaz
CHE 313 LEC 1,Material Science and Engineering,16W,3,MW 3:30PM-4:45PM,Salman Noshear Arshad
CHE 315 LEC 1,Chemical Process Simulation,16W,2,TR 5:00PM-5:50PM,Usman Bin Shahid
CHE 390 LEC 1,Transport Phenomena,16W,3,TR 8:00AM-9:15AM,Qasim Imtiaz
CHE 412 LEC 1,Membrane Science and Engineering,16W,3,MW 11:00AM-12:15PM,Faheem Hassan Akhtar
CHE 430 LEC 1,Chemical Process Control,16W,3,MW 12:00PM-1:15PM,Qandeel Almas
CHE 512 LEC 1,Biochemical Engineering,16W,3,TR 11:00AM-12:15PM,Shahana Khurshid
CHE 712 LEC 1,Advanced Reaction Engineering,16W,3,TR 8:00AM-9:15AM,Tauqeer Abbas
CHE 713 LEC 1,Engineering Thermodynamics,16W,3,MW 4:00PM-5:15PM,Faheem Hassan Akhtar
CHEM 100 LAB 1,Experimental Chemistry,8Wk1,1,M 10:00AM-12:50PM,Basit Yameen
CHEM 230 LAB 1,Organic Chemistry Lab I,16W,2,F 8:00AM-1:50PM,Irshad Hussain
CHEM 230 LEC 1,CHEM 233 Molecular Spectroscopy,16W,3,TR 5:00PM-6:15PM,Muhammad Saeed
CHEM 233 LEC 1,CHEM 311 Chemical Thermodynamics,16W,3,MW 11:00AM-12:15PM,Falak Sher
